nombre_aeropuerto,ciudad,estado,latitude,longitude,direccion
New Castle,Wilmington,DE,39.745278,-75.548366,"913 N Market St, Wilmington, DE 19801"
Wilmington International,Wilmington,NC,34.228477,-77.940809,"605 Castle St (btw 6th & 7th), Wilmington, NC 28401"
Worcester Regional,Worcester,MA,42.26194,-71.800975,"Front St (Franklin St), Worcester, MA 01609"
Wrangell Airport,Wrangell,AK,56.472404,-132.381589,"312 Reid St, Wrangell, AK 99929"
Yakima Air Terminal/McAllister Field,Yakima,WA,46.60276,-120.50511,"121 E Yakima Ave, Yakima, WA 98901"
Yakutat Airport,Yakutat,AK,59.50803,-139.668878,"Yakutat, AK 99689"
Yuma MCAS/Yuma International,Yuma,AZ,32.727218,-114.623342,"201 N 4th Ave, Yuma, AZ 85364"
Central Il Regional Airport at Bloomington,Bloomington/Normal,IL,40.508868,-88.985503,"200 Broadway (at W Beaufort St), Normal, IL 61761"
Boise Air Terminal,Boise,ID,43.5644,-116.223,"3201 W Airport Way, Boise, ID 83705"
Logan International,Boston,MA,42.351127,-71.063411,"19 Stuart St (at Washington St), Boston, MA 02116"
Bozeman Yellowstone International,Bozeman,MT,45.680561,-111.032318,"101 N Rouse Ave, Bozeman, MT 59715"
Brainerd Lakes Regional,Brainerd,MN,46.354191,-94.202915,"416 S 5th St, Brainerd, MN 56401"
Brownsville South Padre Island International,Brownsville,TX,37.971287,-100.875467,"605 1/2 N 8th St, Garden City, KS 67846"
Brunswick Golden Isles,Brunswick,GA,31.149473,-81.495196,"1505 Richmond St, Brunswick, GA 31520"
Adak,Adak Island,AK,37.917403,-100.707006,"Garden City , United States, Garden City, KS 67846"
Albuquerque International Sunport,Albuquerque,NM,35.048435,-106.616803,"2200 Sunport Blvd SE (at Sunport Loop), Albuquerque, NM 87106"
Buffalo Niagara International,Buffalo,NY,42.898344,-78.88911,"525 Niagara St (at Pennsylvania St.), Buffalo, NY 14201"
Bob Hope,Burbank,CA,34.185735,-118.315795,"851 N San Fernando Blvd, Burbank, CA 91502"
Burlington International,Burlington,VT,44.476363,-73.21278,"149 Church St (Pine Place), Burlington, VT 05401"
Bert Mooney,Butte,MT,46.001472,-112.527458,"799 E Front St, Butte, MT 59701"
Cape Girardeau Regional,Cape Girardeau,MO,37.304541,-89.518033,"19 N Water St, Cape Girardeau, MO 63701"
Casper/Natrona County International,Casper,WY,42.856713,-106.302907,"1701 E E St, Casper, WY 82601"
Cedar City Regional,Cedar City,UT,37.681641,-113.063324,"200 N Main St, Cedar City, UT 84721"
The Eastern Iowa,Cedar Rapids/Iowa City,IA,41.660375,-91.5295,"410 E Washington St (at S Van Buren), Iowa City, IA 52240"
